Semester,Year,Repository,Action,Author,Repo_ID,Assignees,Close_date,Closed_by,Request_Status,Reviewers,Review_Recommendation,Tagged,week
Fall,2020,t0008,issue,p0229,36,p0229,2020-11-23T23:42:42.000Z,N/A,closed,N/A,N/A,N/A,9
Fall,2020,t0008,issue,p0229,30,p0229,2020-10-31T22:50:13.000Z,N/A,closed,N/A,N/A,N/A,6
Fall,2020,t0008,issue,p0229,28,p0229,2020-11-23T23:42:42.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2020,t0008,issue,p0229,27,p0229,2020-11-15T22:33:46.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2020,t0008,issue,p0229,24,p0229,2020-10-21T19:52:06.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2020,t0008,issue,p0229,22,p0229,2020-11-16T06:26:32.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2020,t0008,issue,p0229,6,p0229,2020-11-16T06:26:32.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0008,issue,p0229,5,p0229,2020-10-17T01:48:54.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0008,issue,p0229,1,p0229,2020-10-06T19:43:33.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0008,issue,p0229,7,p0229;p0357,2020-10-14T22:00:01.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0008,issue,p0229,14,p0229;p0357;p0137,2020-11-24T20:09:59.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0037,issue,p0330,32,p0230,2020-12-07T22:06:47.000Z,N/A,closed,N/A,N/A,N/A,7
Fall,2020,t0037,issue,p0230,28,p0230,2020-12-07T22:05:22.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2020,t0037,issue,p0230,27,p0230,2020-11-02T20:04:26.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2020,t0037,issue,p0330,20,p0230,2020-12-07T22:05:30.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2020,t0037,issue,p0230,1,p0230,2020-09-30T19:46:13.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0037,issue,p0330,15,p0230;p0001;p0330,2020-10-18T05:37:25.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2020,t0037,issue,p0330,31,p0230;p0330,2020-12-11T21:38:14.000Z,N/A,closed,N/A,N/A,N/A,7
Fall,2020,t0037,issue,p0330,14,p0230;p0330,2020-10-12T22:28:04.000Z,N/A,closed,N/A,N/A,N/A,3
Fall,2020,t0037,issue,p0230,4,p0230;p0330,2020-10-05T19:13:16.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0037,issue,p0230,3,p0230;p0330,2020-10-05T19:10:52.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0081,issue,p0232,59,p0232,2020-05-11T05:26:46.000Z,N/A,closed,N/A,N/A,N/A,12
Spring,2020,t0081,issue,p0214,36,p0232,2020-05-08T01:22:59.000Z,N/A,closed,N/A,N/A,N/A,6
Spring,2020,t0081,issue,p0232,8,p0232,2020-05-11T05:28:05.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0081,issue,p0214,6,p0232,2020-05-08T01:25:39.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0081,issue,p0214,4,p0232,2020-03-23T02:23:39.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0081,issue,p0214,3,p0232,2020-03-23T02:24:51.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0081,issue,p0214,37,p0232;p0362,2020-04-24T02:18:53.000Z,N/A,closed,N/A,N/A,N/A,6
Spring,2020,t0081,issue,p0232,2,p0232;p0362,2020-04-24T02:19:00.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2019,t0020,issue,p0233,21,p0233,N/A,N/A,open,N/A,N/A,N/A,9
Fall,2019,t0020,issue,p0233,19,p0233,2019-11-13T22:04:11.000Z,N/A,closed,N/A,N/A,N/A,7
Fall,2019,t0020,issue,p0233,18,p0233,2019-11-13T22:04:06.000Z,N/A,closed,N/A,N/A,N/A,5
Fall,2019,t0020,issue,p0428,15,p0233,2019-11-13T22:04:01.000Z,N/A,closed,N/A,N/A,N/A,2
Fall,2019,t0020,issue,p0428,8,p0233,2019-11-13T22:04:14.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2019,t0020,issue,p0428,7,p0233,2019-11-13T22:03:52.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2022,t0063,issue,p0285,62,p0234,2022-12-12T04:39:52.000Z,N/A,closed,N/A,N/A,N/A,14
Fall,2022,t0063,issue,p0234,36,p0234,2022-12-12T08:08:03.000Z,N/A,closed,N/A,N/A,N/A,9
Fall,2022,t0063,issue,p0234,21,p0234,2022-12-12T04:38:04.000Z,N/A,closed,N/A,N/A,N/A,4
Fall,2022,t0063,issue,p0212,11,p0234,2022-09-20T00:16:59.000Z,N/A,closed,N/A,N/A,N/A,2
Fall,2022,t0063,issue,p0234,6,p0234,2022-12-12T04:37:55.000Z,N/A,closed,N/A,N/A,N/A,1
